"cluster","celltype_full","score","score_rank","db","species","organ","celltype","n_genes"
"0","T cell | Lymphoid tissue | Mouse | CellMarker",0.7343636517,1,"CellMarker","Mouse","Lymphoid tissue","T cell",5
"0","T cell | Spleen | Mouse | CellMarker",0.6954501202,2,"CellMarker","Mouse","Spleen","T cell",6
"0","Serotonergic neurons | Brain | Human | PanglaoDB",0.6870518427,3,"PanglaoDB","Human","Brain","Serotonergic neurons",5
"0","Serotonergic neurons | Brain | Mouse | PanglaoDB",0.6870518427,4,"PanglaoDB","Mouse","Brain","Serotonergic neurons",5
"0","Immune cell (Renal Clear Cell Carcinoma) | Human | CellMarker",0.6644282475,5,"CellMarker","Human","","Immune cell (Renal Clear Cell Carcinoma)",12
"0","Eosinophil | Peritoneal cavity | Mouse | CellMarker",0.6636791568,6,"CellMarker","Mouse","Peritoneal cavity","Eosinophil",5
"0","Late neuroblast | Brain | Mouse | CellMarker",0.6503825364,7,"CellMarker","Mouse","Brain","Late neuroblast",5
"0","Renal cortex | Human | TISSUES",0.6489400031,8,"TISSUES","Human","","Renal cortex",5
"0","cerebral_cortex_prefrontal | SaVanT",0.6450740897,9,"SaVanT","","","cerebral_cortex_prefrontal",50
"0","MPP_NOVERSHTERN_1 | Human | xCell",0.6283635127,10,"xCell","Human","","MPP_NOVERSHTERN_1",5
"0","T cell | Peripheral blood | Human | CellMarker",0.6242359314,11,"CellMarker","Human","Peripheral blood","T cell",6
"0","Granulocyte | Spleen | Mouse | CellMarker",0.6201290775,12,"CellMarker","Mouse","Spleen","Granulocyte",7
"0","cerebral_cortex | SaVanT",0.6191138686,13,"SaVanT","","","cerebral_cortex",50
"0","Myometrium | Human | TISSUES",0.603016168,14,"TISSUES","Human","","Myometrium",6
"0","B-cells_HPCA_2 | Human | xCell",0.5987083834,15,"xCell","Human","","B-cells_HPCA_2",5
"0","Pyramidal cell | Human | CellMarker",0.5888148765,16,"CellMarker","Human","","Pyramidal cell",8
"0","Long-term hematopoietic stem cell | Bone marrow | Mouse | CellMarker",0.5742640733,17,"CellMarker","Mouse","Bone marrow","Long-term hematopoietic stem cell",6
"0","Ionocytes | Lungs | Human | PanglaoDB",0.5717796854,18,"PanglaoDB","Human","Lungs","Ionocytes",5
"0","Ionocytes | Lungs | Mouse | PanglaoDB",0.5717796854,19,"PanglaoDB","Mouse","Lungs","Ionocytes",5
"0","CD8+ T cell | Human | CellMarker",0.568385093,20,"CellMarker","Human","","CD8+ T cell",5
"0","Cytotoxic T cell | Mouse | CellMarker",0.5652368813,21,"CellMarker","Mouse","","Cytotoxic T cell",8
"0","FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON | Human | MSigDB",0.5491468236,22,"MSigDB","Human","","FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON",36
