"cluster","celltype_full","score","score_rank","db","species","organ","celltype","n_genes"
"0","Reticulocytes | Blood | Human | PanglaoDB",0.8779196486,1,"PanglaoDB","Human","Blood","Reticulocytes",5
"0","Reticulocytes | Blood | Mouse | PanglaoDB",0.8779196486,2,"PanglaoDB","Mouse","Blood","Reticulocytes",5
"0","Tregs_BLUEPRINT_2 | Human | xCell",0.7461902695,3,"xCell","Human","","Tregs_BLUEPRINT_2",5
"0","Tregs_FANTOM_1 | Human | xCell",0.7461902695,4,"xCell","Human","","Tregs_FANTOM_1",5
"0","CD8+ T-cells_IRIS_2 | Human | xCell",0.721804531,5,"xCell","Human","","CD8+ T-cells_IRIS_2",5
"0","CD8+ Tcm_BLUEPRINT_3 | Human | xCell",0.6365170216,6,"xCell","Human","","CD8+ Tcm_BLUEPRINT_3",6
"0","Myometrium | Human | TISSUES",0.6235169099,7,"TISSUES","Human","","Myometrium",5
"0","Memory B-cells_HPCA_3 | Human | xCell",0.618482301,8,"xCell","Human","","Memory B-cells_HPCA_3",5
"0","naive B-cells_NOVERSHTERN_2 | Human | xCell",0.6110611169,9,"xCell","Human","","naive B-cells_NOVERSHTERN_2",21
"0","Monocytes_BLUEPRINT_2 | Human | xCell",0.6101355072,10,"xCell","Human","","Monocytes_BLUEPRINT_2",6
"0","Olfactory sensory neuron | Brain | Mouse | CellMarker",0.5980748739,11,"CellMarker","Mouse","Brain","Olfactory sensory neuron",6
"0","GAO_LARGE_INTESTINE_24W_C7_GOBLET_PROGENITOR | Human | MSigDB",0.5862276054,12,"MSigDB","Human","","GAO_LARGE_INTESTINE_24W_C7_GOBLET_PROGENITOR",8
"0","Goblet progenitor cell | Large intestine | Human | CellMarker",0.5862276054,13,"CellMarker","Human","Large intestine","Goblet progenitor cell",8
"0","Memory B-cells_HPCA_1 | Human | xCell",0.5772367968,14,"xCell","Human","","Memory B-cells_HPCA_1",6
"0","CD8+ Tem_NOVERSHTERN_1 | Human | xCell",0.5511950808,15,"xCell","Human","","CD8+ Tem_NOVERSHTERN_1",8
"0","Insulinoma cell | Mouse | TISSUES",0.5472152503,16,"TISSUES","Mouse","","Insulinoma cell",6
"0","Pancreatic cancer cell | Mouse | TISSUES",0.5472152503,17,"TISSUES","Mouse","","Pancreatic cancer cell",6
"0","naive B-cells_NOVERSHTERN_1 | Human | xCell",0.5383246983,18,"xCell","Human","","naive B-cells_NOVERSHTERN_1",24
"0","Germ cell | Mouse | TISSUES",0.5114467549,19,"TISSUES","Mouse","","Germ cell",10
"0","Germ cell | Ovary | Human | CellMarker",0.5096155135,20,"CellMarker","Human","Ovary","Germ cell",5
"0","Undefined placental cells | Placenta | Human | PanglaoDB",0.5086117278,21,"PanglaoDB","Human","Placenta","Undefined placental cells",7
"0","Undefined placental cells | Placenta | Mouse | PanglaoDB",0.5086117278,22,"PanglaoDB","Mouse","Placenta","Undefined placental cells",7
"0","pro B-cells_NOVERSHTERN_3 | Human | xCell",0.5051687449,23,"xCell","Human","","pro B-cells_NOVERSHTERN_3",6
"0","Pyramidal cell | Human | CellMarker",0.5037557051,24,"CellMarker","Human","","Pyramidal cell",8
"0","Neutrophils_BLUEPRINT_1 | Human | xCell",0.5030353667,25,"xCell","Human","","Neutrophils_BLUEPRINT_1",5
"0","Late neuroblast | Brain | Mouse | CellMarker",0.4949238441,26,"CellMarker","Mouse","Brain","Late neuroblast",5
"0","Daltons lymphoma cell | Human | TISSUES",0.4928693109,27,"TISSUES","Human","","Daltons lymphoma cell",10
"0","T-cell lymphoma cell | Human | TISSUES",0.4928693109,28,"TISSUES","Human","","T-cell lymphoma cell",10
"0","Alveolar macrophages | Lungs | Human | PanglaoDB",0.4918647081,29,"PanglaoDB","Human","Lungs","Alveolar macrophages",7
"0","Alveolar macrophages | Lungs | Mouse | PanglaoDB",0.4918647081,30,"PanglaoDB","Mouse","Lungs","Alveolar macrophages",7
"0","Lep_BT | SaVanT",0.487959277,31,"SaVanT","","","Lep_BT",14
"0","intestine_large | SaVanT",0.4869577968,32,"SaVanT","","","intestine_large",16
"0","Tregs_BLUEPRINT_3 | Human | xCell",0.4841911212,33,"xCell","Human","","Tregs_BLUEPRINT_3",11
"0","Tregs_FANTOM_2 | Human | xCell",0.4841911212,34,"xCell","Human","","Tregs_FANTOM_2",11
"0","MPP_ENCODE_1 | Human | xCell",0.4781912808,35,"xCell","Human","","MPP_ENCODE_1",5
"0","Plasma cell (Renal Cell Carcinoma) | Kidney | Human | CellMarker",0.4764240152,36,"CellMarker","Human","Kidney","Plasma cell (Renal Cell Carcinoma)",14
"0","Eosinophils_NOVERSHTERN_3 | Human | xCell",0.4755312516,37,"xCell","Human","","Eosinophils_NOVERSHTERN_3",7
"0","CD8+ Tem_NOVERSHTERN_2 | Human | xCell",0.4708288194,38,"xCell","Human","","CD8+ Tem_NOVERSHTERN_2",5
"0","Monocytic leukemia cell | Human | TISSUES",0.4682286555,39,"TISSUES","Human","","Monocytic leukemia cell",5
"0","Goblet cells | GI tract | Human | PanglaoDB",0.468004706,40,"PanglaoDB","Human","GI tract","Goblet cells",10
"0","Goblet cells | GI tract | Mouse | PanglaoDB",0.468004706,41,"PanglaoDB","Mouse","GI tract","Goblet cells",10
"0","Ciliated cell | Lung | Mouse | CellMarker",0.4677541412,42,"CellMarker","Mouse","Lung","Ciliated cell",15
"0","Class-switched memory B-cells_NOVERSHTERN_1 | Human | xCell",0.4675126844,43,"xCell","Human","","Class-switched memory B-cells_NOVERSHTERN_1",5
"0","Tregs_BLUEPRINT_1 | Human | xCell",0.4649536068,44,"xCell","Human","","Tregs_BLUEPRINT_1",13
"0","Megakaryocyte | Human | TISSUES",0.4641175199,45,"TISSUES","Human","","Megakaryocyte",5
"0","intestine_small | SaVanT",0.4638901406,46,"SaVanT","","","intestine_small",13
