"cluster","celltype_full","score","score_rank","db","species","organ","celltype","n_genes"
"0","Insulinoma cell | Mouse | TISSUES",0.7448816814,1,"TISSUES","Mouse","","Insulinoma cell",6
"0","Pancreatic cancer cell | Mouse | TISSUES",0.7448816814,2,"TISSUES","Mouse","","Pancreatic cancer cell",6
"0","CD4+ memory T-cells_FANTOM_2 | Human | xCell",0.7070120225,3,"xCell","Human","","CD4+ memory T-cells_FANTOM_2",8
"0","Th2 cells_IRIS_2 | Human | xCell",0.7049449855,4,"xCell","Human","","Th2 cells_IRIS_2",5
"0","Memory B-cells_IRIS_1 | Human | xCell",0.6847915793,5,"xCell","Human","","Memory B-cells_IRIS_1",7
"0","B-lymphocyte | Mouse | TISSUES",0.6704338071,6,"TISSUES","Mouse","","B-lymphocyte",7
"0","pre-B-lymphocyte | Mouse | TISSUES",0.6704338071,7,"TISSUES","Mouse","","pre-B-lymphocyte",7
"0","pro-B-lymphocyte | Mouse | TISSUES",0.6704338071,8,"TISSUES","Mouse","","pro-B-lymphocyte",7
"0","Pyramidal cell | Human | CellMarker",0.6197345015,9,"CellMarker","Human","","Pyramidal cell",8
"0","Olfactory sensory neuron | Brain | Mouse | CellMarker",0.6091488129,10,"CellMarker","Mouse","Brain","Olfactory sensory neuron",5
"0","Memory B-cells_IRIS_3 | Human | xCell",0.6018860621,11,"xCell","Human","","Memory B-cells_IRIS_3",5
"0","Tregs_BLUEPRINT_2 | Human | xCell",0.5950315398,12,"xCell","Human","","Tregs_BLUEPRINT_2",5
"0","Tregs_FANTOM_1 | Human | xCell",0.5950315398,13,"xCell","Human","","Tregs_FANTOM_1",5
"0","testis | SaVanT",0.5866017572,14,"SaVanT","","","testis",10
"0","Undefined placental cells | Placenta | Human | PanglaoDB",0.5643884944,15,"PanglaoDB","Human","Placenta","Undefined placental cells",5
"0","Undefined placental cells | Placenta | Mouse | PanglaoDB",0.5643884944,16,"PanglaoDB","Mouse","Placenta","Undefined placental cells",5
"0","CD4+ naive T-cells_FANTOM_3 | Human | xCell",0.5457041243,17,"xCell","Human","","CD4+ naive T-cells_FANTOM_3",5
"0","nucleus_accumbens | SaVanT",0.5383346651,18,"SaVanT","","","nucleus_accumbens",46
"0","Ciliated cell | Lung | Mouse | CellMarker",0.5374726355,19,"CellMarker","Mouse","Lung","Ciliated cell",14
"0","cerebral_cortex_prefrontal | SaVanT",0.5351879833,20,"SaVanT","","","cerebral_cortex_prefrontal",50
"0","CD8+ Tem_NOVERSHTERN_3 | Human | xCell",0.5330511811,21,"xCell","Human","","CD8+ Tem_NOVERSHTERN_3",6
"0","Germ cell | Mouse | TISSUES",0.5330470655,22,"TISSUES","Mouse","","Germ cell",9
"0","CD4+ T-cells_FANTOM_2 | Human | xCell",0.5280420765,23,"xCell","Human","","CD4+ T-cells_FANTOM_2",6
"0","ZHONG_PFC_C3_UNKNOWN_INP | Human | MSigDB",0.5277276667,24,"MSigDB","Human","","ZHONG_PFC_C3_UNKNOWN_INP",13
"0","CD4+ naive T-cells_FANTOM_1 | Human | xCell",0.5237685496,25,"xCell","Human","","CD4+ naive T-cells_FANTOM_1",11
"0","CD4+ naive T-cells_NOVERSHTERN_3 | Human | xCell",0.5237685496,26,"xCell","Human","","CD4+ naive T-cells_NOVERSHTERN_3",11
"0","CD4+ T-cells_FANTOM_1 | Human | xCell",0.5211078763,27,"xCell","Human","","CD4+ T-cells_FANTOM_1",14
"0","naive B-cells_NOVERSHTERN_2 | Human | xCell",0.5190440665,28,"xCell","Human","","naive B-cells_NOVERSHTERN_2",20
"0","CD4+ Tcm_NOVERSHTERN_1 | Human | xCell",0.5150736579,29,"xCell","Human","","CD4+ Tcm_NOVERSHTERN_1",5
"0","CD4+ Tcm_NOVERSHTERN_2 | Human | xCell",0.5150736579,30,"xCell","Human","","CD4+ Tcm_NOVERSHTERN_2",5
"0","CD8+ Tem_NOVERSHTERN_2 | Human | xCell",0.513029043,31,"xCell","Human","","CD8+ Tem_NOVERSHTERN_2",5
"0","Neuroepithelioma cell | Human | TISSUES",0.5096046679,32,"TISSUES","Human","","Neuroepithelioma cell",5
"0","amygdala | SaVanT",0.509214121,33,"SaVanT","","","amygdala",50
"0","cerebral_cortex | SaVanT",0.4962665502,34,"SaVanT","","","cerebral_cortex",50
"0","Intercalated cells | Kidney | Human | PanglaoDB",0.4931626079,35,"PanglaoDB","Human","Kidney","Intercalated cells",10
"0","Intercalated cells | Kidney | Mouse | PanglaoDB",0.4931626079,36,"PanglaoDB","Mouse","Kidney","Intercalated cells",10
"0","Immune cell (Renal Clear Cell Carcinoma) | Human | CellMarker",0.492592266,37,"CellMarker","Human","","Immune cell (Renal Clear Cell Carcinoma)",7
"0","dorsal_striatum | SaVanT",0.4894407928,38,"SaVanT","","","dorsal_striatum",46
"0","Tregs_FANTOM_3 | Human | xCell",0.4801941991,39,"xCell","Human","","Tregs_FANTOM_3",8
"0","Brain cancer cell | Human | TISSUES",0.4646812302,40,"TISSUES","Human","","Brain cancer cell",5
"0","Pyramidal cells | Brain | Human | PanglaoDB",0.4612109544,41,"PanglaoDB","Human","Brain","Pyramidal cells",23
"0","Pyramidal cells | Brain | Mouse | PanglaoDB",0.4612109544,42,"PanglaoDB","Mouse","Brain","Pyramidal cells",23
"0","hippocampus | SaVanT",0.4587914673,43,"SaVanT","","","hippocampus",49
"0","Class-switched memory B-cells_BLUEPRINT_2 | Human | xCell",0.4581212212,44,"xCell","Human","","Class-switched memory B-cells_BLUEPRINT_2",16
"0","IMGN_T_8Eff_Sp_OT1_d5_VSVOva | Mouse | SaVanT",0.4577141861,45,"SaVanT","Mouse","","IMGN_T_8Eff_Sp_OT1_d5_VSVOva",22
"0","CD8+ Tem_NOVERSHTERN_1 | Human | xCell",0.4573812706,46,"xCell","Human","","CD8+ Tem_NOVERSHTERN_1",8
"0","Th2 cells_IRIS_3 | Human | xCell",0.4509371562,47,"xCell","Human","","Th2 cells_IRIS_3",7
"0","IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT",0.4502706601,48,"SaVanT","Mouse","","IMGN_T_8Eff_Sp_OT1_d6_LisOva",21
"0","Adipocytes_ENCODE_1 | Human | xCell",0.4497516828,49,"xCell","Human","","Adipocytes_ENCODE_1",7
"0","Adipocytes_HPCA_2 | Human | xCell",0.4497516828,50,"xCell","Human","","Adipocytes_HPCA_2",7
"0","Lep_LL | SaVanT",0.44084544,51,"SaVanT","","","Lep_LL",18
"0","ZHONG_PFC_C2_UNKNOWN_NPC | Human | MSigDB",0.4386412427,52,"MSigDB","Human","","ZHONG_PFC_C2_UNKNOWN_NPC",32
"0","pre-T-lymphocyte | Mouse | TISSUES",0.4365113794,53,"TISSUES","Mouse","","pre-T-lymphocyte",11
"0","Thymocyte | Mouse | TISSUES",0.4365113794,54,"TISSUES","Mouse","","Thymocyte",11
"0","Class-switched memory B-cells_BLUEPRINT_3 | Human | xCell",0.431783326,55,"xCell","Human","","Class-switched memory B-cells_BLUEPRINT_3",11
